hitid,img_in_hit,vg_img_id,vg_object_id,cat,synset,url,responses
382GHPVPHTWGTFNQAF8LL5N1EEM438,0,884,1637760,singleton_category,foodstuff.n.02,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/884_1637760_singleton_category.png,"Counter({'cereal': 3, 'calox chocos': 1, 'drink': 1, 'health drink': 1, 'cereal box': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,1,3947,1070734,ambiguous_category,outbuilding.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/3947_1070734_ambiguous_category.png,"Counter({'house': 3, 'building': 2, 'roof': 2, 'gazebo': 1, 'arch way': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,2,2397003,1193594,ambiguous_category,dish.n.02,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2397003_1193594_ambiguous_category.png,"Counter({'soup': 3, 'curry': 2, 'food': 2, 'vegetable stew': 1, 'dish': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,3,2346351,2280590,singleton_category,dog.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png,"Counter({'dog': 7, 'shih-poo': 2, 'dady bar': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,4,2363996,3339443,ambiguous_synset,baked_goods.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2363996_3339443_ambiguous_synset.png,"Counter({'cake': 4, 'stollen': 2, 'acke': 1, 'desert': 1, 'cakes': 1, 'food': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,5,2357137,814606,ambiguous_synset,dog.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2357137_814606_ambiguous_synset.png,"Counter({'dog': 9, 'standard boodle': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,6,2374569,586596,singleton_category,baked_goods.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2374569_586596_singleton_category.png,"Counter({'cookie': 6, 'biscuit': 2, 'statue': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,7,2414319,296869,ambiguous_synset,woman.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2414319_296869_ambiguous_synset.png,"Counter({'mobile': 2, 'woman': 2, 'girl': 2, 'lady': 2, 'human': 1, 'woman on phone': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,8,2338246,3491340,ambiguous_category,athlete.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2338246_3491340_ambiguous_category.png,"Counter({'tennis player': 4, 'man': 2, 'human': 1, 'federer': 1, 'player': 1, 'tennies player': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,9,2355516,1850502,ambiguous_synset,tool.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png,"Counter({'scissors': 5, 'scissor': 4, 'sizzers': 1})"
3CRWSLD91L9LJU5IZHS9V22CVW2MOF,0,2410391,1863266,ambiguous_category,athlete.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2410391_1863266_ambiguous_category.png,"Counter({'man': 3, 'person': 2, 'human': 1, 'athlete': 1, 'ryder': 1, 'skier': 1})"
3CRWSLD91L9LJU5IZHS9V22CVW2MOF,1,2371407,597855,ambiguous_category,athlete.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2371407_597855_ambiguous_category.png,"Counter({'catcher': 3, 'keeper': 3, 'man': 1, 'human': 1, 'baseball position': 1, 'athlete': 1})"
3CRWSLD91L9LJU5IZHS9V22CVW2MOF,2,2393207,3218440,ambiguous_synset,baked_goods.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2393207_3218440_ambiguous_synset.png,"Counter({'donut': 4, 'donate': 1, 'food': 1, 'sufganiyah': 1, 'dessert': 1})"
3CRWSLD91L9LJU5IZHS9V22CVW2MOF,3,2390339,1251334,singleton_obj,dog.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2390339_1251334_singleton_obj.png,Counter({'dog': 10})
3CRWSLD91L9LJU5IZHS9V22CVW2MOF,4,2381209,706387,singleton_category,dog.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2381209_706387_singleton_category.png,"Counter({'dog': 8, 'companion dog': 2})"
3CRWSLD91L9LJU5IZHS9V22CVW2MOF,5,2397900,1185290,ambiguous_category,vegetable.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2397900_1185290_ambiguous_category.png,"Counter({'bread': 2, 'cake': 2, 'food': 1, 'egg': 1, 'broth': 1, 'potato cakes': 1, 'omelette': 1})"
3CRWSLD91L9LJU5IZHS9V22CVW2MOF,6,2353604,2768859,singleton_obj,tool.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2353604_2768859_singleton_obj.png,"Counter({'knife': 7, 'bradawl': 1, 'carrot': 1, 'kniff': 1})"
3CRWSLD91L9LJU5IZHS9V22CVW2MOF,7,2385544,1295610,singleton_obj,baked_goods.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2385544_1295610_singleton_obj.png,"Counter({'cake': 3, 'birthday cake': 2, 'balloon': 1, 'hat': 1})"
3CRWSLD91L9LJU5IZHS9V22CVW2MOF,8,2339579,2625157,ambiguous_category,shelter.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2339579_2625157_ambiguous_category.png,"Counter({'tiki hut': 2, 'umbrella': 1, 'water': 1, 'hut': 1, 'tent': 1, 'roof': 1, 'umbrellas': 1})"
3CRWSLD91L9LJU5IZHS9V22CVW2MOF,9,2347736,3165295,singleton_category,beverage.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2347736_3165295_singleton_category.png,"Counter({'wine': 3, 'bottle': 3, 'glass bottle': 2, 'drinks': 2})"
31MCUE39BLRW5VGA5GAMUUK44JVG37,0,2384848,1304092,ambiguous_category,foodstuff.n.02,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2384848_1304092_ambiguous_category.png,"Counter({'rice': 9, 'soia beans': 1})"
31MCUE39BLRW5VGA5GAMUUK44JVG37,1,2415689,3313513,ambiguous_synset,baked_goods.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2415689_3313513_ambiguous_synset.png,"Counter({'pancake': 5, 'pancakes': 1, 'bread': 1, 'cake': 1})"
31MCUE39BLRW5VGA5GAMUUK44JVG37,2,2361816,2220050,ambiguous_synset,vegetable.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2361816_2220050_ambiguous_synset.png,"Counter({'rhubarb': 3, 'onion': 1, 'spinach': 1, 'vegetable stalks': 1, 'vegetables': 1, 'vegtable': 1})"
31MCUE39BLRW5VGA5GAMUUK44JVG37,3,2359393,793716,singleton_category,dish.n.02,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2359393_793716_singleton_category.png,"Counter({'burger': 5, 'sandwich': 4, 'sandwitch': 1})"
31MCUE39BLRW5VGA5GAMUUK44JVG37,4,2372994,1749119,ambiguous_synset,house.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2372994_1749119_ambiguous_synset.png,"Counter({'house': 8, 'shelter': 1, 'wall': 1})"
31MCUE39BLRW5VGA5GAMUUK44JVG37,5,2350930,1830045,singleton_category,athlete.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2350930_1830045_singleton_category.png,"Counter({'blender': 3, 'juicer': 3, 'juice and jar': 1, 'blender cup': 1, 'mixer': 1, 'blender/mixer container': 1})"
31MCUE39BLRW5VGA5GAMUUK44JVG37,6,2365178,2438664,singleton_category,tool.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2365178_2438664_singleton_category.png,"Counter({'oven': 2, 'paddle': 1, 'bread and oven': 1, 'peel': 1, 'shovel': 1, 'micro oven': 1})"
31MCUE39BLRW5VGA5GAMUUK44JVG37,7,2367391,622824,singleton_category,dog.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2367391_622824_singleton_category.png,"Counter({'dog': 9, 'pug': 1})"
31MCUE39BLRW5VGA5GAMUUK44JVG37,8,2384637,1306887,singleton_category,house.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2384637_1306887_singleton_category.png,"Counter({'building': 3, 'house': 2, 'palace': 2, 'men': 1, 'bulding': 1, 'large apartment house/inn.': 1})"
31MCUE39BLRW5VGA5GAMUUK44JVG37,9,2347092,3613245,singleton_category,artist.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2347092_3613245_singleton_category.png,"Counter({'person': 4, 'man': 2, 'painter': 1, 'artist': 1, 'person / artist': 1, 'men': 1})"
3V7ICJJAZBLLWAR3P8NR3OLD26ZB46,0,2365354,757200,ambiguous_synset,edible_fruit.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2365354_757200_ambiguous_synset.png,Counter({'apple': 10})
3V7ICJJAZBLLWAR3P8NR3OLD26ZB46,1,2410265,221991,singleton_category,restaurant.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2410265_221991_singleton_category.png,"Counter({'patio': 2, 'cafe': 2, 'shop': 2, 'umbrella': 1, 'lamb': 1})"
3V7ICJJAZBLLWAR3P8NR3OLD26ZB46,2,2403942,1120049,ambiguous_synset,woman.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png,"Counter({'woman': 4, 'girl': 2, 'lady': 2, 'person': 1, 'women': 1})"
3V7ICJJAZBLLWAR3P8NR3OLD26ZB46,3,2338898,2232134,singleton_obj,man.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2338898_2232134_singleton_obj.png,"Counter({'biker': 3, 'motorcyclist': 2, 'man': 2, 'bike': 1, 'motorcycle rider': 1, 'motor driving': 1})"
3V7ICJJAZBLLWAR3P8NR3OLD26ZB46,4,2391841,1236887,ambiguous_synset,dish.n.02,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2391841_1236887_ambiguous_synset.png,"Counter({'salad': 4, 'food': 2, 'dish': 1, 'lunch': 1, 'olive': 1, 'fast food': 1})"
3V7ICJJAZBLLWAR3P8NR3OLD26ZB46,5,2365661,3883093,ambiguous_synset,man.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2365661_3883093_ambiguous_synset.png,"Counter({'man': 5, 'politician': 1, 'human': 1, 'politican': 1, 'person': 1, 'leaders person': 1})"
3V7ICJJAZBLLWAR3P8NR3OLD26ZB46,6,2325122,3456054,ambiguous_category,outbuilding.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2325122_3456054_ambiguous_category.png,"Counter({'garage': 4, 'boy': 2, 'kids': 1, 'human': 1, 'boys': 1})"
3V7ICJJAZBLLWAR3P8NR3OLD26ZB46,7,2338246,3491340,ambiguous_category,athlete.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2338246_3491340_ambiguous_category.png,"Counter({'tennis player': 4, 'athlete': 3, 'player': 2, 'bat mitten': 1})"
3V7ICJJAZBLLWAR3P8NR3OLD26ZB46,8,2363996,3339443,ambiguous_synset,baked_goods.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2363996_3339443_ambiguous_synset.png,"Counter({'cake': 4, 'dessert': 2, 'salad': 1, 'pie slice': 1, 'food': 1})"
3V7ICJJAZBLLWAR3P8NR3OLD26ZB46,9,2353604,2768859,singleton_obj,tool.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2353604_2768859_singleton_obj.png,"Counter({'knife': 8, 'nife': 1, 'kniff': 1})"
